ShiftDate,ActualDate,Shift,ProdCat,CycleTime,BCT,Line,Model,PlanMP,Leader,Good,Reject,GrossOutput,StartTime,StopTime,GrossAvailability,ScheduleTimeMin,ScheduledBreak,MaterialShort,DefectiveComponent,COOnline,PredictiveMaintenance,EquipmentDT,ProcessQualityDT,OtherDT,TotalDowntime,NetOperatingTime,NetOutput,IdealOperatingTime,Availability,Performance,Quality,ActualOEE,TargetOEE,ActualPPH,SORemark,ProdRemark,AVLoss,PFLoss,QLoss,
2023-12-01,12/2/2023 12:31:46 AM,Night,JBJ/JTE,14.48,14.47,Line3,JTE986,5.0,HAFIZ,392,0,392,12/2/2023 12:31:46 AM,12/2/2023 2:09:50 AM,1.64,98.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.40,407.87,94.540000,1.000000,0.963700,1.000000,0.963700,0.810000,47.95,176020-0,,,,,
2023-12-01,12/1/2023 9:11:14 PM,Night,JBJ/JTE,14.48,14.47,Line3,JTE986,5.0,HAFIZ,721,0,721,12/1/2023 9:11:14 PM,12/1/2023 11:52:37 PM,2.69,161.40,15.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.60,145.80,669.00,173.880000,0.903300,1.192600,1.000000,1.000000,0.810000,59.34,176052-1,,,,,
2023-12-01,12/1/2023 9:08:43 PM,Night,JAR,31.96,24.59,Line9,JAR739.S,3.0,AH SIEW,525,0,525,12/1/2023 9:08:43 PM,12/2/2023 1:00:20 AM,3.86,231.60,47.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.20,184.40,434.83,215.160000,0.796200,1.166800,1.000000,0.929000,0.890000,56.94,176122-1,,,,,
2023-12-01,12/2/2023 1:01:49 AM,Night,JAR,31.96,24.59,Line9,JAR974.BS,3.0,AH SIEW,400,0,400,12/2/2023 1:01:49 AM,12/2/2023 4:22:51 AM,3.35,201.00,17.30,14.20,0.00,18.30,0.00,0.00,0.00,0.00,49.80,151.20,316.55,163.930000,0.752200,1.084200,1.000000,0.815500,0.890000,52.91,176123-0,,,,,
2023-12-01,12/1/2023 8:21:25 AM,Day,JBJ/JTE,12.03,12.03,Line2,JBJ165.ZFB,5.0,SHANKAR,900,0,900,12/1/2023 8:21:25 AM,12/1/2023 11:50:07 AM,3.48,208.80,17.40,2.20,0.00,0.00,0.00,0.00,0.00,16.60,36.20,172.60,945.63,180.450000,0.826500,1.046100,1.000000,0.864600,0.810000,62.61,176124-1,,,,,
2023-12-01,12/1/2023 11:53:25 AM,Day,JBJ/JTE,11.17,11.17,Line3,JBJ701.ZFB,5.0,SHANKAR,1280,0,1280,12/1/2023 11:53:25 AM,12/1/2023 4:51:29 PM,4.97,298.20,6.10,7.90,0.00,0.00,0.00,0.00,0.00,0.00,14.00,284.20,1559.45,238.290000,0.953000,0.838800,1.000000,0.799400,0.810000,54.07,176125-0,,,,,
2023-12-01,12/1/2023 7:18:25 PM,Day,JBJ/JTE,9.12,8.12,Line7,JBJ7537,5.0,SULIHAR,160,0,160,12/1/2023 7:18:25 PM,12/1/2023 7:58:43 PM,0.67,40.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.20,264.42,21.650000,1.000000,0.537300,1.000000,0.537300,0.810000,47.64,176128-0,,,,,
2023-12-01,12/1/2023 8:07:00 PM,Night,JBJ/JTE,9.12,8.12,Line7,JBJ7537,5.0,KAMIL,340,0,340,12/1/2023 8:07:00 PM,12/1/2023 10:19:08 PM,2.20,132.00,16.40,19.80,0.00,0.00,0.00,0.00,0.00,0.00,36.20,95.80,738.00,46.010000,0.726000,0.479800,1.000000,0.348300,0.810000,42.54,176128-1,,,,,
2023-12-01,12/1/2023 2:53:52 PM,Day,JBJ/JTE,7.60,5.58,Line7,JBJ7659,6.0,SULIHAR,300,0,300,12/1/2023 2:53:52 PM,12/1/2023 4:26:12 PM,1.54,92.40,16.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.80,75.60,729.31,27.900000,0.818000,0.369500,1.000000,0.302300,0.810000,39.74,176130-0,,,,,
2023-12-01,12/1/2023 4:26:44 PM,Day,JBJ/JTE,12.18,12.18,Line2,JTE1014.ZFB,5.0,SULIHAR,210,0,210,12/1/2023 4:26:44 PM,12/1/2023 5:58:06 PM,1.52,91.20,17.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,73.90,449.39,42.630000,0.810700,0.575300,1.000000,0.466400,0.810000,34.01,176132-0,,,,,
2023-12-01,12/2/2023 4:55:46 AM,Night,JBJ/JTE,14.12,14.12,Line8,JTE1063.S,6.0,KAMIL,397,0,397,12/2/2023 4:55:46 AM,12/2/2023 7:23:51 AM,2.47,148.20,15.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.10,133.10,629.70,93.430000,0.898000,0.702500,1.000000,0.630800,0.810000,29.85,176133-0,,,,,
2023-12-01,12/1/2023 8:08:52 AM,Day,JBJ/JTE,14.16,14.16,Line7,JTE163,5.0,SULIHAR,960,0,960,12/1/2023 8:08:52 AM,12/1/2023 12:22:22 PM,4.22,253.20,16.00,0.00,0.00,0.00,0.00,0.00,0.00,26.40,42.40,210.80,960.69,226.560000,0.832700,1.073200,1.000000,0.893700,0.810000,54.57,176135-0,,,,,
2023-12-01,12/2/2023 2:10:25 AM,Night,JBJ/JTE,14.48,14.47,Line2,JTE2057,5.0,HAFIZ,360,0,360,12/2/2023 2:10:25 AM,12/2/2023 4:09:41 AM,1.99,119.40,16.10,10.70,0.00,0.00,0.00,0.00,0.00,0.00,26.80,92.60,450.15,86.820000,0.775400,0.938600,1.000000,0.727800,0.810000,46.70,176136-0,,,,,
2023-12-01,12/1/2023 12:30:22 PM,Day,JBJ/JTE,11.16,11.16,Line2,JTE766.BS,5.0,SULIHAR,401,0,401,12/1/2023 12:30:22 PM,12/1/2023 2:42:01 PM,2.19,131.40,31.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.80,99.60,706.49,74.590000,0.758400,0.747400,1.000000,0.566800,0.810000,48.22,176137-0,,,,,
2023-12-01,12/1/2023 8:16:49 AM,Day,JBJ/JTE,14.48,14.47,Line1,JTE769,5.0,SHANKAR,352,0,352,12/1/2023 8:16:49 AM,12/1/2023 9:51:10 AM,1.57,94.20,0.00,0.00,0.00,2.90,0.00,0.00,0.00,2.30,5.20,89.00,370.56,84.890000,0.944900,0.951700,1.000000,0.899300,0.810000,47.35,176138-0,,,,,
